category,material,material_cost,labour_hours,labour_rate,quality_score,craftsmanship_complexity,size_scale,season_demand_index,market_reference_price,selling_price
Carved Woodwork,Sheesham Wood,1707.18,16.1,120.0,4.1,3,1,1.11,6068.33,5909.99
Folk Paintings,Handmade Vasli Paper,653.36,10.5,180.0,4.0,2,2,1.19,4476.31,4264.56
Handloom Textiles,Mulberry Silk,883.41,63.2,150.0,3.2,1,3,1.32,16322.37,17504.15
Folk Paintings,Cotton Canvas,1847.19,40.7,70.0,3.5,3,2,1.31,8640.99,8327.13
Carved Woodwork,Rosewood,980.53,43.2,120.0,4.7,1,5,1.25,9385.5,10384.22
Folk Paintings,Handmade Vasli Paper,1577.04,46.8,180.0,2.8,3,4,1.4,18401.91,18097.76
Carved Woodwork,Rosewood,2377.24,70.7,150.0,5.0,1,3,1.23,19765.46,20354.96
Folk Paintings,Handmade Vasli Paper,1516.95,47.3,70.0,4.1,3,5,1.01,8883.43,7152.79
Dhokra & Brass Craft,Copper Brass Blend,140.98,30.3,85.0,2.6,3,3,1.25,4842.13,4704.76
Blue Pottery & Ceramics,Quartz Powder Frit,1261.39,13.3,150.0,4.8,4,1,1.25,5470.74,6403.04
Blue Pottery & Ceramics,Quartz Powder Frit,852.09,35.0,100.0,3.2,5,3,1.19,7616.16,7576.2
Blue Pottery & Ceramics,Quartz Powder Frit,955.19,12.7,100.0,4.7,4,1,0.91,3738.32,3235.11
Carved Woodwork,Sheesham Wood,1476.62,71.6,85.0,4.1,3,1,1.27,12610.67,13883.65
Dhokra & Brass Craft,Recycled Bell Metal Brass,730.49,18.3,200.0,3.5,1,5,1.2,7145.52,6887.41
Handloom Textiles,Mulberry Silk,243.05,67.0,100.0,2.7,2,2,1.16,11456.03,10080.01
Carved Woodwork,Seasoned Teakwood,2044.72,4.1,200.0,4.7,5,1,1.05,5192.3,4822.38
Terracotta & Clay,Black Clay,452.16,71.2,200.0,4.2,2,2,1.31,20201.72,25881.69
Dhokra & Brass Craft,Copper Brass Blend,639.22,72.1,150.0,2.5,5,5,0.91,22192.55,15620.2
Carved Woodwork,Seasoned Teakwood,1713.24,21.4,70.0,4.4,2,4,1.0,5121.93,4601.58
Handloom Textiles,Mulberry Silk,984.95,71.2,200.0,4.2,2,4,1.1,25121.17,23625.58
Terracotta & Clay,Natural Alluvial Clay,1705.54,59.2,200.0,4.1,3,2,0.97,19471.71,18761.87
Handloom Textiles,Chanderi Cotton-Silk,1043.84,3.5,180.0,3.0,1,4,1.3,2636.3,2576.18
Carved Woodwork,Rosewood,1931.77,14.0,100.0,4.9,3,1,0.93,5555.73,4664.02
Blue Pottery & Ceramics,Porcelain Clay,2198.68,26.3,150.0,4.7,2,2,1.04,9461.27,9217.13
Folk Paintings,Cotton Canvas,2366.96,55.6,70.0,2.6,3,2,1.02,11516.49,8633.19
Dhokra & Brass Craft,Bronze Alloy,92.44,37.3,150.0,4.2,3,3,1.37,10137.86,11208.83
Folk Paintings,Tussar Silk Fabric,2023.85,79.0,150.0,4.4,4,3,1.34,26637.79,28367.95
Folk Paintings,Tussar Silk Fabric,1007.82,16.0,100.0,4.2,1,2,1.1,4381.14,4078.64
Handloom Textiles,Handspun Cotton,825.06,39.7,150.0,5.0,3,4,1.37,11695.6,13666.8
Handloom Textiles,Handspun Cotton,958.42,70.7,120.0,2.8,2,2,0.92,15579.99,10858.78
Folk Paintings,Tussar Silk Fabric,1723.57,51.6,200.0,3.1,5,1,0.97,24087.14,18189.16
Folk Paintings,Handmade Vasli Paper,616.07,7.3,200.0,3.4,1,5,1.16,3487.8,3106.97
Folk Paintings,Tussar Silk Fabric,2209.39,41.9,150.0,3.5,3,2,0.94,15629.68,11970.89
Handloom Textiles,Handspun Cotton,1073.92,66.0,150.0,4.6,2,1,0.97,18106.97,16314.13
Blue Pottery & Ceramics,Porcelain Clay,1900.12,42.5,85.0,4.4,1,1,1.12,8103.55,8236.59
Terracotta & Clay,Natural Alluvial Clay,574.27,35.2,70.0,2.8,3,4,1.16,4367.51,4767.14
Folk Paintings,Cotton Canvas,2069.79,61.0,100.0,2.7,2,1,1.02,14378.83,10565.6
Handloom Textiles,Mulberry Silk,256.67,60.3,70.0,4.3,1,4,1.36,7052.33,8304.08
Folk Paintings,Cotton Canvas,210.27,17.6,70.0,3.5,2,5,1.27,2538.4,2522.52
Terracotta & Clay,Black Clay,1951.1,54.7,180.0,4.4,2,4,1.39,16221.01,22863.86
Blue Pottery & Ceramics,Ceramic Glaze,1441.08,24.5,85.0,3.8,1,4,1.33,5179.66,6018.66
Terracotta & Clay,Black Clay,868.63,76.5,100.0,2.5,4,3,0.9,12777.94,10229.22
Terracotta & Clay,Terracotta Red Clay,663.62,21.0,200.0,3.0,1,4,1.11,6383.5,6758.35
Carved Woodwork,Sheesham Wood,1272.96,28.4,85.0,4.6,2,2,1.05,5880.7,5523.92
Folk Paintings,Tussar Silk Fabric,477.57,63.3,180.0,4.3,3,1,0.94,21843.69,17051.37
Handloom Textiles,Handspun Cotton,2392.18,22.0,150.0,2.8,3,5,1.14,9819.01,9138.62
Blue Pottery & Ceramics,Quartz Powder Frit,2104.14,41.7,70.0,4.5,4,5,1.04,8438.88,7949.02
Carved Woodwork,Sheesham Wood,1397.82,15.3,100.0,4.3,2,5,1.12,4669.87,4409.46
Carved Woodwork,Sheesham Wood,1664.44,34.7,70.0,2.9,5,2,0.94,7419.36,5644.68
Blue Pottery & Ceramics,Quartz Powder Frit,2392.67,76.4,85.0,4.3,4,5,1.33,14929.61,16890.58
Dhokra & Brass Craft,Recycled Bell Metal Brass,1788.41,41.8,85.0,2.8,5,2,1.28,10348.98,10521.2
Terracotta & Clay,Natural Alluvial Clay,1365.28,60.4,85.0,4.1,2,3,0.93,8936.51,8787.27
Terracotta & Clay,Natural Alluvial Clay,839.16,51.9,200.0,4.0,2,2,1.24,15426.35,17908.04
Terracotta & Clay,Terracotta Red Clay,2421.94,53.6,100.0,4.1,1,3,1.26,10213.8,12790.07
Folk Paintings,Tussar Silk Fabric,2018.27,16.9,120.0,3.8,5,1,1.24,8092.54,7767.53
Handloom Textiles,Chanderi Cotton-Silk,290.71,18.6,180.0,3.2,1,5,1.32,5730.97,5906.42
Terracotta & Clay,Terracotta Red Clay,2045.83,29.4,70.0,2.9,2,3,1.02,5642.77,5106.65
Blue Pottery & Ceramics,Quartz Powder Frit,2201.41,59.1,120.0,4.8,2,1,1.09,14311.85,14443.99
Terracotta & Clay,Natural Alluvial Clay,899.95,76.3,120.0,4.0,3,4,0.92,14455.43,13375.32
Handloom Textiles,Chanderi Cotton-Silk,1880.25,73.8,70.0,4.2,4,1,1.12,12683.25,11519.91
Handloom Textiles,Chanderi Cotton-Silk,930.99,73.0,70.0,3.2,4,1,1.06,10873.78,9629.98
Blue Pottery & Ceramics,Porcelain Clay,2465.56,63.9,180.0,4.1,4,5,1.27,23465.5,27138.25
Terracotta & Clay,Natural Alluvial Clay,128.46,7.8,85.0,4.0,4,4,0.99,1187.19,1194.9
Blue Pottery & Ceramics,Ceramic Glaze,786.43,60.6,150.0,3.5,3,4,1.17,15901.05,16935.42
Blue Pottery & Ceramics,Porcelain Clay,1563.83,65.0,70.0,4.7,4,1,1.25,10271.23,11725.46
Blue Pottery & Ceramics,Quartz Powder Frit,578.47,3.1,85.0,2.6,5,1,1.32,1473.45,1523.65
Carved Woodwork,Sheesham Wood,450.61,59.1,100.0,3.7,2,4,1.11,10145.17,9715.64
Folk Paintings,Cotton Canvas,1283.35,16.7,85.0,3.3,3,5,1.1,4973.24,4173.81
Dhokra & Brass Craft,Bronze Alloy,580.92,68.6,150.0,4.4,3,5,0.99,19377.41,15683.18
Handloom Textiles,Handspun Cotton,368.24,13.8,180.0,3.0,5,5,1.32,5347.95,5537.72
Folk Paintings,Cotton Canvas,1693.96,36.5,180.0,3.2,2,4,1.0,14544.57,11196.64
Blue Pottery & Ceramics,Ceramic Glaze,325.34,64.0,200.0,3.8,4,4,0.99,22050.57,19140.39
Blue Pottery & Ceramics,Ceramic Glaze,1802.5,72.2,85.0,4.3,2,4,1.28,12226.83,13530.27
Dhokra & Brass Craft,Copper Brass Blend,1588.58,49.4,70.0,3.5,2,3,0.97,8604.42,6811.35
Carved Woodwork,Sheesham Wood,2047.82,22.8,120.0,2.7,4,5,1.23,8323.85,7806.12
Handloom Textiles,Mulberry Silk,248.72,71.8,200.0,3.8,1,2,1.27,23008.73,23558.8
Folk Paintings,Handmade Vasli Paper,1228.94,28.9,200.0,2.6,1,3,1.27,11775.02,10407.38
Handloom Textiles,Mulberry Silk,1566.33,21.2,70.0,3.6,4,1,1.13,5490.59,5121.71
Carved Woodwork,Sheesham Wood,551.8,41.9,120.0,3.4,2,2,1.13,8899.78,8294.28
Folk Paintings,Tussar Silk Fabric,365.49,6.5,70.0,4.6,2,1,1.1,1444.06,1358.66
Carved Woodwork,Rosewood,2163.13,29.7,85.0,3.3,5,4,1.02,8496.33,7412.57
Terracotta & Clay,Black Clay,768.73,42.8,85.0,4.1,5,3,1.0,6885.52,7203.49
Dhokra & Brass Craft,Bronze Alloy,490.82,10.4,85.0,2.6,2,1,1.17,2344.07,1983.46
Dhokra & Brass Craft,Bronze Alloy,1325.68,10.7,100.0,4.4,2,5,1.33,4084.63,4368.43
Carved Woodwork,Sheesham Wood,105.53,33.3,85.0,3.9,4,1,1.1,5108.69,4925.46
Blue Pottery & Ceramics,Quartz Powder Frit,737.15,27.3,200.0,3.0,4,3,1.05,10411.21,9606.31
Carved Woodwork,Seasoned Teakwood,982.66,19.1,120.0,4.0,5,5,1.13,5935.32,5783.05
Handloom Textiles,Chanderi Cotton-Silk,2384.07,29.3,200.0,3.6,5,2,0.92,15457.63,11492.24
Carved Woodwork,Sheesham Wood,2056.31,71.2,120.0,3.8,5,4,1.09,19213.06,18045.72
Folk Paintings,Cotton Canvas,1898.44,75.5,85.0,3.4,2,4,1.21,14636.05,13523.17
Terracotta & Clay,Natural Alluvial Clay,2329.16,18.8,70.0,3.1,5,5,1.09,5695.56,5751.18
Carved Woodwork,Rosewood,1635.52,58.3,70.0,3.5,2,4,1.21,9117.85,8911.11
Terracotta & Clay,Natural Alluvial Clay,2138.22,60.0,180.0,3.0,2,1,1.2,17790.05,19128.47
Blue Pottery & Ceramics,Porcelain Clay,785.9,74.2,120.0,3.2,2,1,0.98,14922.45,12647.25
Blue Pottery & Ceramics,Quartz Powder Frit,1047.96,7.4,100.0,3.9,2,1,1.07,2753.46,2682.54
Blue Pottery & Ceramics,Quartz Powder Frit,1753.96,53.9,200.0,3.8,3,3,1.15,20179.68,19525.89
Terracotta & Clay,Terracotta Red Clay,1488.61,64.4,200.0,3.6,4,4,1.28,21552.92,27210.39
Blue Pottery & Ceramics,Porcelain Clay,1113.0,11.6,150.0,3.5,4,2,1.31,4793.04,5479.51
Handloom Textiles,Chanderi Cotton-Silk,2070.94,27.0,150.0,3.2,2,5,1.33,10099.55,10281.56
Folk Paintings,Tussar Silk Fabric,1221.34,20.5,120.0,2.7,3,2,1.31,6773.67,6328.38
Blue Pottery & Ceramics,Ceramic Glaze,876.74,7.0,85.0,3.7,3,4,1.25,2369.5,2501.72
Terracotta & Clay,Black Clay,1618.9,62.0,70.0,2.6,5,2,0.97,9310.78,8507.09
Carved Woodwork,Seasoned Teakwood,2344.7,38.2,100.0,4.5,1,5,1.28,9385.76,10514.68
Terracotta & Clay,Terracotta Red Clay,687.11,42.2,70.0,4.7,2,3,1.21,5006.53,6384.98
Folk Paintings,Tussar Silk Fabric,202.23,45.1,70.0,4.9,5,2,1.06,6718.46,6108.04
Blue Pottery & Ceramics,Quartz Powder Frit,1029.29,37.5,70.0,3.6,5,4,1.06,6395.01,6312.1
Handloom Textiles,Mulberry Silk,813.79,77.4,200.0,3.5,5,5,1.07,30550.86,27540.55
Dhokra & Brass Craft,Copper Brass Blend,1724.89,46.9,85.0,4.9,4,1,0.91,10623.19,8818.92
Blue Pottery & Ceramics,Porcelain Clay,1745.78,60.6,150.0,5.0,5,3,1.02,18962.62,18432.67
Folk Paintings,Handmade Vasli Paper,1326.7,79.3,120.0,2.8,3,3,0.91,19950.57,13813.35
Terracotta & Clay,Black Clay,150.05,21.5,120.0,3.7,5,3,1.19,4265.7,5121.6
Terracotta & Clay,Natural Alluvial Clay,623.01,41.8,200.0,2.9,4,2,1.32,13474.52,16160.76
Dhokra & Brass Craft,Bronze Alloy,1663.52,70.2,85.0,4.7,2,4,0.95,13010.04,9970.12
Dhokra & Brass Craft,Recycled Bell Metal Brass,670.47,77.4,100.0,3.9,4,4,1.32,15643.47,16125.42
Terracotta & Clay,Terracotta Red Clay,1353.15,56.0,200.0,2.8,5,4,1.31,19614.3,24027.92
Carved Woodwork,Sheesham Wood,856.18,17.8,180.0,4.4,2,2,1.12,6475.99,6315.66
Folk Paintings,Cotton Canvas,1982.92,34.2,70.0,4.3,4,3,0.94,8403.69,6444.85
Folk Paintings,Handmade Vasli Paper,1869.79,19.2,120.0,4.2,2,5,1.13,7345.87,6695.46
Dhokra & Brass Craft,Copper Brass Blend,403.74,76.4,100.0,2.7,5,1,1.21,15584.75,13912.25
Terracotta & Clay,Terracotta Red Clay,1919.99,58.6,70.0,3.0,3,5,1.1,8656.61,8981.06
Carved Woodwork,Rosewood,1092.4,37.2,150.0,2.7,3,4,1.12,11126.23,10117.8
Handloom Textiles,Chanderi Cotton-Silk,1639.65,17.1,70.0,2.7,1,2,0.9,4467.72,3262.15
Carved Woodwork,Sheesham Wood,877.1,56.4,85.0,3.6,3,3,1.05,9456.56,8929.32
Carved Woodwork,Rosewood,2469.43,20.3,150.0,3.9,5,2,0.98,9994.9,8526.11
Folk Paintings,Handmade Vasli Paper,85.03,23.1,85.0,3.9,5,2,1.22,4097.06,3861.32
Dhokra & Brass Craft,Recycled Bell Metal Brass,1270.64,26.9,70.0,2.8,4,1,0.93,5865.77,4297.26
Terracotta & Clay,Black Clay,801.05,38.0,180.0,4.3,3,2,1.35,10984.01,14328.15
Terracotta & Clay,Natural Alluvial Clay,1288.91,61.9,70.0,3.6,5,2,1.22,8784.23,11029.39
Handloom Textiles,Handspun Cotton,1132.74,25.5,85.0,3.2,3,4,1.3,5692.91,5454.32
Dhokra & Brass Craft,Recycled Bell Metal Brass,1651.93,69.8,150.0,4.4,5,3,1.06,23486.24,22292.58
Handloom Textiles,Chanderi Cotton-Silk,612.07,37.3,200.0,3.2,5,4,1.21,15135.13,14985.8
Dhokra & Brass Craft,Recycled Bell Metal Brass,2336.28,69.1,85.0,3.4,4,3,1.29,15270.19,15801.25
Handloom Textiles,Chanderi Cotton-Silk,139.64,56.6,100.0,3.1,2,3,0.95,9569.41,7559.06
Dhokra & Brass Craft,Copper Brass Blend,1653.45,78.7,70.0,4.4,4,3,1.01,13322.16,11524.81
Blue Pottery & Ceramics,Ceramic Glaze,235.46,48.6,85.0,2.6,2,2,1.13,6724.35,6275.61
Carved Woodwork,Sheesham Wood,2334.18,29.0,70.0,5.0,5,2,1.24,7910.08,9071.11
Handloom Textiles,Mulberry Silk,1811.08,23.6,150.0,2.8,3,1,0.91,9230.61,6873.28
Handloom Textiles,Chanderi Cotton-Silk,1275.43,69.9,100.0,4.6,2,3,0.97,13637.96,11438.94
Terracotta & Clay,Black Clay,931.67,37.4,200.0,3.0,5,3,1.22,13143.23,16179.48
Blue Pottery & Ceramics,Quartz Powder Frit,1355.46,47.9,180.0,4.4,5,4,0.99,17460.55,16246.17
Folk Paintings,Handmade Vasli Paper,217.95,48.3,150.0,2.5,4,5,1.06,14328.86,11611.38
Handloom Textiles,Mulberry Silk,1146.59,23.1,120.0,4.0,5,5,1.35,7347.36,7823.95
Blue Pottery & Ceramics,Quartz Powder Frit,385.19,13.0,70.0,4.4,3,1,0.94,2085.26,1712.49
Handloom Textiles,Chanderi Cotton-Silk,1537.46,27.8,150.0,4.5,2,2,1.32,9417.31,10640.82
Carved Woodwork,Sheesham Wood,1889.0,68.5,120.0,4.1,1,3,1.38,15390.95,18155.07
Dhokra & Brass Craft,Bronze Alloy,1954.46,19.8,120.0,2.6,5,1,0.91,8390.27,5910.53
Blue Pottery & Ceramics,Porcelain Clay,2442.13,20.1,100.0,4.1,1,2,1.2,6544.63,6832.3
Dhokra & Brass Craft,Recycled Bell Metal Brass,1061.24,78.8,85.0,5.0,1,2,0.93,12628.16,10689.62
Dhokra & Brass Craft,Copper Brass Blend,2295.0,23.5,85.0,3.0,2,1,1.21,7318.71,6806.96
Handloom Textiles,Handspun Cotton,809.84,17.5,180.0,2.7,1,1,1.16,6236.75,5315.78
Dhokra & Brass Craft,Recycled Bell Metal Brass,339.48,35.6,100.0,4.3,5,5,1.17,7555.24,7309.8
Blue Pottery & Ceramics,Ceramic Glaze,381.57,31.2,85.0,4.2,4,5,0.92,5096.4,4318.44
Handloom Textiles,Handspun Cotton,2236.16,46.9,70.0,3.6,1,5,0.99,8692.68,7138.83
Terracotta & Clay,Black Clay,627.59,13.1,100.0,4.5,3,1,1.29,2785.29,3604.51
Handloom Textiles,Mulberry Silk,1006.46,51.6,200.0,3.0,4,3,1.19,20387.63,19224.59
Dhokra & Brass Craft,Recycled Bell Metal Brass,2385.86,21.4,70.0,3.1,4,2,1.03,7223.98,5714.2
Terracotta & Clay,Natural Alluvial Clay,1612.29,58.5,200.0,3.3,2,5,1.24,18304.4,21125.11
Terracotta & Clay,Black Clay,648.78,53.2,100.0,4.7,2,5,1.19,8207.07,9469.97
Blue Pottery & Ceramics,Porcelain Clay,509.19,3.5,70.0,3.0,4,1,1.38,1267.04,1459.17
Carved Woodwork,Seasoned Teakwood,408.5,78.3,70.0,2.7,1,3,0.95,8966.76,7095.11
Carved Woodwork,Seasoned Teakwood,2054.61,32.1,180.0,2.7,2,3,1.21,12493.01,11587.86
Carved Woodwork,Rosewood,2066.45,24.7,150.0,2.9,4,4,1.29,10042.32,10380.72
Blue Pottery & Ceramics,Quartz Powder Frit,2119.93,37.3,120.0,4.0,3,1,1.28,10619.45,11645.15
Folk Paintings,Tussar Silk Fabric,805.7,5.6,70.0,4.5,5,3,1.1,2395.4,2163.05
Terracotta & Clay,Terracotta Red Clay,2048.93,58.1,100.0,4.1,2,2,0.97,10806.03,10484.61
Blue Pottery & Ceramics,Porcelain Clay,1861.21,27.6,85.0,2.9,1,3,1.33,6184.6,6827.61
Terracotta & Clay,Black Clay,1064.39,61.7,100.0,2.5,2,3,1.13,9947.29,10077.61
Carved Woodwork,Seasoned Teakwood,432.15,70.6,70.0,3.1,2,4,1.08,8571.77,7638.35
Blue Pottery & Ceramics,Quartz Powder Frit,2088.45,35.0,180.0,4.3,4,1,1.17,14092.6,15044.29
Handloom Textiles,Mulberry Silk,2286.38,57.1,70.0,3.7,1,1,1.18,9896.32,9487.28
Terracotta & Clay,Terracotta Red Clay,2017.98,37.7,85.0,4.0,4,2,0.94,7833.72,7302.1
Folk Paintings,Cotton Canvas,1200.94,40.5,120.0,4.1,3,2,1.36,11152.13,11612.57
Handloom Textiles,Handspun Cotton,519.55,26.3,70.0,2.9,2,1,1.36,3894.91,4009.12
Folk Paintings,Tussar Silk Fabric,283.8,78.8,180.0,3.4,1,3,0.95,24305.9,18888.02
Terracotta & Clay,Natural Alluvial Clay,2414.06,25.3,120.0,4.4,3,4,1.21,7834.46,9230.43
Dhokra & Brass Craft,Bronze Alloy,1852.92,55.7,180.0,4.6,4,2,1.36,22094.79,24365.72
Blue Pottery & Ceramics,Quartz Powder Frit,2416.78,29.3,85.0,3.2,2,3,1.1,7557.21,7170.16
Blue Pottery & Ceramics,Quartz Powder Frit,1589.46,13.3,70.0,3.5,2,3,1.1,3881.51,3616.45
Carved Woodwork,Seasoned Teakwood,1707.08,56.1,85.0,4.8,4,4,1.01,11267.51,10595.14
Handloom Textiles,Handspun Cotton,2356.92,17.1,100.0,2.9,1,5,1.39,6405.4,6822.71
Carved Woodwork,Rosewood,1296.36,22.8,70.0,2.5,2,5,1.31,4613.31,4708.7
Handloom Textiles,Chanderi Cotton-Silk,2059.91,54.4,70.0,3.8,2,1,0.97,9682.05,7862.79
Terracotta & Clay,Natural Alluvial Clay,497.17,70.2,120.0,4.0,1,3,1.22,11709.04,14213.36
Handloom Textiles,Handspun Cotton,2024.94,66.0,150.0,4.8,5,1,0.97,22359.26,20255.6
Blue Pottery & Ceramics,Ceramic Glaze,710.83,25.9,85.0,4.6,4,1,0.95,4892.71,4388.86
Carved Woodwork,Rosewood,2264.94,56.7,70.0,4.1,1,2,1.34,9491.17,10831.18
Terracotta & Clay,Terracotta Red Clay,2177.16,48.7,120.0,3.2,3,2,1.25,11530.42,13381.46
Terracotta & Clay,Natural Alluvial Clay,2051.39,75.1,70.0,3.4,2,5,1.1,10049.04,10671.98
Dhokra & Brass Craft,Recycled Bell Metal Brass,1273.02,39.3,200.0,3.3,1,2,1.19,14863.99,13756.77
Dhokra & Brass Craft,Copper Brass Blend,2278.2,49.6,85.0,3.3,4,2,1.02,12079.21,9920.87
Handloom Textiles,Chanderi Cotton-Silk,818.34,16.0,150.0,3.6,1,3,1.17,5068.89,4532.56
Terracotta & Clay,Natural Alluvial Clay,2416.55,32.1,70.0,3.0,3,4,1.27,6703.85,8071.19
Terracotta & Clay,Natural Alluvial Clay,131.18,35.3,180.0,3.2,1,5,1.0,8511.8,8002.47
Folk Paintings,Tussar Silk Fabric,933.12,58.6,100.0,4.8,2,1,1.16,11955.89,11613.89
Carved Woodwork,Sheesham Wood,554.27,75.7,180.0,4.3,3,4,1.17,23645.6,25005.03
Carved Woodwork,Rosewood,2473.68,23.4,85.0,3.8,5,4,0.9,8088.61,6244.67
Dhokra & Brass Craft,Copper Brass Blend,2174.01,49.4,180.0,3.3,4,3,1.09,20582.78,17919.28
Blue Pottery & Ceramics,Ceramic Glaze,1581.75,52.2,180.0,4.8,3,2,1.17,17674.18,20213.1
Carved Woodwork,Sheesham Wood,342.33,70.4,150.0,4.4,2,2,1.21,17389.22,18580.18
Carved Woodwork,Rosewood,201.78,7.8,120.0,4.2,1,5,1.27,1732.27,1936.61
Dhokra & Brass Craft,Bronze Alloy,1274.22,74.1,85.0,4.3,5,4,0.93,14672.14,11143.89
Dhokra & Brass Craft,Recycled Bell Metal Brass,1651.89,26.3,100.0,3.2,1,3,0.98,6968.78,5341.36
Folk Paintings,Cotton Canvas,104.23,70.9,120.0,3.0,2,5,1.01,15157.52,11368.6
Folk Paintings,Tussar Silk Fabric,432.42,56.7,180.0,4.5,3,1,1.36,19574.69,21964.67
Carved Woodwork,Seasoned Teakwood,2391.25,50.0,200.0,3.5,2,3,1.23,19764.04,19766.09
Blue Pottery & Ceramics,Ceramic Glaze,2230.78,56.3,120.0,3.4,5,1,1.3,15726.86,16957.67
Folk Paintings,Tussar Silk Fabric,1449.1,4.2,150.0,4.5,4,4,0.92,3991.87,3058.6
Terracotta & Clay,Black Clay,1273.74,3.3,120.0,2.9,2,2,1.32,2295.89,2719.45
Carved Woodwork,Rosewood,1095.15,33.1,200.0,4.8,2,2,1.26,12305.66,12795.57
Terracotta & Clay,Natural Alluvial Clay,2009.76,58.4,120.0,3.9,3,2,1.1,12963.03,14116.2
Dhokra & Brass Craft,Copper Brass Blend,1579.39,54.1,200.0,5.0,2,3,1.33,21140.96,23884.72
Folk Paintings,Cotton Canvas,315.65,26.3,150.0,4.9,2,1,1.23,7498.74,7906.92
Handloom Textiles,Handspun Cotton,2102.01,77.0,150.0,4.1,1,4,1.17,21501.92,21152.07
Terracotta & Clay,Black Clay,1009.15,37.2,150.0,2.8,1,2,1.13,8648.26,9314.06
Dhokra & Brass Craft,Bronze Alloy,2383.12,27.6,120.0,4.2,3,4,1.24,10151.55,10024.31
Folk Paintings,Tussar Silk Fabric,1781.74,4.7,100.0,4.4,5,3,0.91,4503.48,3574.54
Blue Pottery & Ceramics,Porcelain Clay,2037.29,30.9,200.0,3.7,5,1,1.07,14380.26,13824.72
Blue Pottery & Ceramics,Quartz Powder Frit,284.18,55.7,100.0,3.8,1,4,1.08,8605.64,7887.75
Folk Paintings,Cotton Canvas,1698.18,27.3,100.0,3.7,1,1,0.92,7439.34,5504.54
Handloom Textiles,Mulberry Silk,308.44,12.7,70.0,3.0,4,5,1.04,2155.39,1906.34
Dhokra & Brass Craft,Recycled Bell Metal Brass,1706.29,51.9,200.0,3.5,5,3,1.25,23417.19,23479.47
Folk Paintings,Cotton Canvas,1388.14,38.3,150.0,3.3,4,1,1.13,13695.63,11691.98
Terracotta & Clay,Terracotta Red Clay,1216.93,38.1,120.0,4.5,1,4,1.36,7597.97,9987.17
Folk Paintings,Tussar Silk Fabric,1352.36,58.3,150.0,4.6,2,3,0.95,17771.35,14325.7
Handloom Textiles,Chanderi Cotton-Silk,147.38,22.0,200.0,4.3,3,5,1.03,7844.23,6930.16
Terracotta & Clay,Black Clay,1613.68,13.8,120.0,3.2,3,4,1.33,4700.16,6056.77
Terracotta & Clay,Black Clay,2007.01,47.9,70.0,4.2,5,5,1.37,8375.02,11335.06
Carved Woodwork,Rosewood,1038.45,18.3,85.0,4.7,1,2,1.3,3949.29,4504.86
Folk Paintings,Cotton Canvas,2227.61,13.6,85.0,3.2,1,5,1.37,5684.46,5608.67
Blue Pottery & Ceramics,Ceramic Glaze,1858.12,22.4,70.0,3.8,4,3,1.23,5755.88,6405.88
Terracotta & Clay,Terracotta Red Clay,385.25,43.8,180.0,4.3,3,4,0.92,11887.05,11584.39
Dhokra & Brass Craft,Bronze Alloy,1251.8,7.9,180.0,4.0,2,2,1.12,4558.83,4460.02
Folk Paintings,Tussar Silk Fabric,2274.1,17.7,70.0,4.3,3,4,1.07,6464.1,5773.35
Terracotta & Clay,Black Clay,728.67,65.5,85.0,4.6,3,3,1.03,9050.74,9322.28
Terracotta & Clay,Black Clay,1672.24,66.4,180.0,4.5,1,2,1.28,17881.82,23567.31
Carved Woodwork,Seasoned Teakwood,1840.7,51.5,150.0,4.1,3,2,1.15,15950.8,17046.07
Dhokra & Brass Craft,Copper Brass Blend,476.1,24.3,150.0,3.2,1,1,1.38,6707.09,6949.08
Terracotta & Clay,Black Clay,616.71,63.1,180.0,4.0,2,3,0.92,16465.23,14876.93
Dhokra & Brass Craft,Copper Brass Blend,773.98,46.1,150.0,4.6,2,5,0.93,13109.71,10685.43
Dhokra & Brass Craft,Copper Brass Blend,2148.31,51.6,200.0,4.3,1,3,1.27,20292.17,21363.91
Carved Woodwork,Rosewood,1221.51,76.9,200.0,2.7,1,5,0.91,25275.8,19091.74
Handloom Textiles,Handspun Cotton,1422.18,72.4,180.0,2.5,1,3,1.23,22765.33,21792.32
Handloom Textiles,Chanderi Cotton-Silk,1193.06,49.7,85.0,4.9,1,5,1.07,8532.66,8209.99
Terracotta & Clay,Black Clay,1706.18,21.5,85.0,3.6,1,1,1.16,4637.96,5172.03
Carved Woodwork,Seasoned Teakwood,100.56,61.6,180.0,3.2,1,5,1.04,17034.58,14792.62
Handloom Textiles,Handspun Cotton,1056.14,55.1,120.0,3.4,4,5,1.18,13802.65,13631.21
Handloom Textiles,Chanderi Cotton-Silk,1097.0,46.3,120.0,3.6,4,1,0.94,11975.4,9633.76
Carved Woodwork,Seasoned Teakwood,976.59,46.8,70.0,4.2,2,4,1.15,6782.88,6867.08
Folk Paintings,Cotton Canvas,902.06,58.4,150.0,3.0,3,1,1.13,17778.19,14694.7
Terracotta & Clay,Terracotta Red Clay,1024.59,73.0,120.0,3.1,5,3,1.19,15288.42,16437.81
Terracotta & Clay,Natural Alluvial Clay,1523.27,31.2,100.0,3.8,2,2,1.03,6384.5,6368.97
Dhokra & Brass Craft,Bronze Alloy,1545.18,7.4,70.0,2.8,1,1,1.09,3357.83,2822.32
